orbit_date_time	land_cover_type
20180910_0407	Everg_bl_forests
20180911_0348	Grasslands
20180922_0522	Grasslands
20180923_0503	Grasslands
20180923_0503	Grasslands
20180923_0503	Grasslands
20180924_0444	Grasslands
20180924_0444	Shrublands
20180924_0444	Grasslands
20180924_0625	Savannas
20180925_0606	Shrublands
20180927_0347	Grasslands
20180929_0450	Shrublands
20180930_0431	Grasslands
20181001_0412	Grasslands
20181001_0412	Grasslands
20181001_0412	Grasslands
20181002_0352	Grasslands
20181003_0333	Everg_bl_forests
20181004_0456	Savannas
20181006_0417	Grasslands
20181007_0358	Grasslands
20181008_0339	Grasslands
20181008_0521	Shrublands
20181008_0521	Shrublands
20181008_0521	Shrublands
20181008_0521	Shrublands
20181008_0521	Shrublands
20181008_0521	Shrublands
20181009_0501	Shrublands
20181009_0501	Shrublands
20181009_0501	Shrublands
20181010_0301	Savannas
20181010_0442	Grasslands
20181010_0442	Shrublands
20181011_0423	Shrublands
20181011_0423	Shrublands
20181011_0423	Shrublands
20181011_0423	Grasslands
20181011_0423	Savannas
20181011_0423	Grasslands
20181012_0404	Grasslands
20181012_0404	Savannas
20181012_0545	Shrublands
20181012_0545	Shrublands
20181012_0545	Shrublands
20181013_0345	Grasslands
20181013_0345	Savannas
20181013_0526	Shrublands
20181013_0526	Shrublands
20181013_0526	Shrublands
20181013_0526	Grasslands
20181013_0526	Shrublands
20181013_0526	Shrublands
20181013_0526	Shrublands
20181013_0526	Shrublands
20181013_0526	Shrublands
20181014_0326	Grasslands
20181014_0326	Grasslands
20181014_0507	Shrublands
20181014_0507	Shrublands
20181014_0507	Shrublands
20181014_0507	Grasslands
20181014_0507	Shrublands
20181014_0507	Shrublands
20181015_0448	Grasslands
20181015_0448	Grasslands
20181015_0448	Shrublands
20181015_0448	Grasslands
20181015_0448	Grasslands
20181015_0448	Shrublands
20181015_0448	Grasslands
20181016_0429	Shrublands
20181016_0429	Shrublands
20181016_0429	Grasslands
20181017_0410	Shrublands
20181017_0410	Shrublands
20181017_0410	Grasslands
20181017_0410	Savannas
20181017_0410	Savannas
20181017_0551	Shrublands
20181017_0551	Shrublands
20181017_0551	Shrublands
20181017_0551	Shrublands
20181018_0532	Shrublands
20181018_0532	Shrublands
20181018_0532	Grasslands
20181018_0532	Shrublands
20181018_0532	Shrublands
20181018_0532	Shrublands
20181018_0532	Grasslands
20181018_0532	Shrublands
20181019_0331	Grasslands
20181019_0513	Grasslands
20181019_0513	Shrublands
20181019_0513	Shrublands
20181019_0513	Grasslands
20181019_0513	Shrublands
20181019_0513	Shrublands
20181019_0513	Shrublands
20181019_0513	Shrublands
20181020_0454	Shrublands
20181020_0454	Shrublands
20181020_0454	Shrublands
20181020_0454	Shrublands
20181020_0454	Grasslands
20181020_0454	Shrublands
20181020_0454	Shrublands
20181020_0454	Grasslands
20181020_0454	Grasslands
20181020_0454	Shrublands
20181021_0435	Shrublands
20181021_0435	Shrublands
20181021_0435	Shrublands
20181021_0435	Shrublands
20181022_0416	Shrublands
20181022_0416	Shrublands
20181022_0416	Shrublands
20181022_0416	Grasslands
20181022_0416	Savannas
20181022_0416	Shrublands
20181022_0416	Grasslands
20181022_0416	Shrublands
20181023_0356	Grasslands
20181023_0356	Shrublands
20181023_0356	Grasslands
20181023_0538	Shrublands
20181024_0337	Everg_bl_forests
20181024_0519	Shrublands
20181024_0519	Shrublands
20181024_0519	Shrublands
20181024_0519	Grasslands
20181024_0519	Grasslands
20181024_0519	Grasslands
20181025_0318	Everg_bl_forests
20181025_0318	Savannas
20181025_0318	Savannas
20181025_0500	Shrublands
20181026_0259	Savannas
20181026_0259	Grasslands
20181026_0259	Savannas
20181026_0259	Savannas
20181026_0259	Savannas
20181026_0622	Everg_bl_forests
20181027_0240	Savannas
20181027_0240	Grasslands
20181027_0240	Savannas
20181027_0421	Shrublands
20181027_0421	Grasslands
20181027_0421	Grasslands
20181027_0421	Grasslands
20181027_0421	Shrublands
20181027_0421	Shrublands
20181027_0421	Grasslands
20181027_0603	Shrublands
20181027_0603	Shrublands
20181028_0402	Grasslands
20181028_0402	Shrublands
20181028_0402	Shrublands
20181028_0402	Savannas
20181028_0402	Grasslands
20181028_0402	Grasslands
20181028_0402	Everg_bl_forests
20181028_0402	Grasslands
20181028_0544	Shrublands
20181028_0544	Shrublands
20181028_0544	Shrublands
20181029_0343	Grasslands
20181029_0343	Grasslands
20181029_0343	Savannas
20181029_0343	Grasslands
20181029_0525	Shrublands
20181029_0525	Shrublands
20181029_0525	Shrublands
20181029_0525	Grasslands
20181029_0525	Shrublands
20181030_0505	Shrublands
20181030_0505	Grasslands
20181030_0505	Grasslands
20181030_0505	Shrublands
20181030_0505	Grasslands
20181031_0446	Shrublands
20181101_0427	Grasslands
20181101_0427	Grasslands
20181101_0427	Grasslands
20181101_0427	Shrublands
20181101_0427	Shrublands
20181101_0427	Grasslands
20181101_0427	Grasslands
20181102_0408	Shrublands
20181102_0408	Shrublands
20181102_0408	Shrublands
20181102_0550	Shrublands
20181102_0550	Shrublands
20181102_0550	Shrublands
20181103_0349	Shrublands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Grasslands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Shrublands
20181103_0530	Grasslands
20181103_0530	Grasslands
20181104_0330	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Shrublands
20181104_0511	Grasslands
20181104_0511	Shrublands
20181105_0311	Savannas
20181106_0433	Shrublands
20181106_0433	Shrublands
20181106_0433	Shrublands
20181106_0433	Shrublands
20181106_0433	Savannas
20181107_0414	Grasslands
20181107_0414	Grasslands
20181107_0414	Grasslands
20181107_0414	Grasslands
20181107_0414	Savannas
20181107_0414	Savannas
20181108_0355	Grasslands
20181108_0355	Savannas
20181108_0536	Shrublands
20181109_0336	Grasslands
20181109_0336	Grasslands
20181109_0336	Shrublands
20181109_0336	Grasslands
20181109_0336	Grasslands
20181109_0336	Shrublands
20181109_0517	Grasslands
20181109_0517	Shrublands
20181109_0517	Grasslands
20181109_0517	Grasslands
20181109_0517	Grasslands
20181110_0317	Shrublands
20181110_0458	Grasslands
20181110_0458	Grasslands
20181110_0458	Grasslands
